央视频道,#genre#
CCTV-7,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225496/index.m3u8
CCTV-7,https://cntv.lat/tv/live.php?auth=231110&id=cctv7
CCTV-7,http://222.240.82.92:9901/tsfile/live/0007_1.m3u8
CCTV-7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV-7,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226002/index.m3u8
CCTV-8,http://121.24.98.185:8090/hls/16/index.m3u8
CCTV-8,http://222.128.86.76:8133/rtp/239.3.1.175:8001
CCTV-8,https://cntv.lat/tv/live.php?auth=231110&id=cctv8
CCTV-8,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8
CCTV-8,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8
CCTV-8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV-8,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225602/index.m3u8
CCTV-9,https://cntv.lat/tv/live.php?auth=231110&id=cctv9
CCTV-9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV-9,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225497/index.m3u8
CCTV-9,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV-10,http://114.246.174.75:4022/rtp/239.3.1.63:8116
CCTV-10,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-10,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225866/index.m3u8
CCTV-10,http://171.221.58.141:4000/udp/239.93.1.63:5140
CCTV-10,https://cntv.lat/tv/live.php?auth=231110&id=cctv10
CCTV-10,http://123.184.70.100:801/hls/78/index.m3u8
CCTV-10,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV-11,http://66.165.240.154:8080/live/jsydcctv11/hls.m3u8
CCTV-11,http://154.yfvodcdn.com:8080/live/jsydcctv11/hls.m3u8
CCTV-11,http://183.204.13.237/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225701/index.m3u8
CCTV-11,https://cntv.lat/tv/live.php?auth=231110&id=cctv11
